# wavenumber, absorbance
6.609890000000000327e+02,1.570070200000000041e-02
6.610491428571428969e+02,1.456086200000000080e-02
6.611092857142857611e+02,1.436210900000000137e-02
6.611694285714286252e+02,1.477389800000000059e-02
6.612295714285713757e+02,1.414492700000000158e-02
6.612897142857142398e+02,1.421158000000000143e-02
6.613498571428571040e+02,1.472803300000000148e-02
6.614099999999999682e+02,1.454876700000000064e-02
6.614702857142856374e+02,1.403622300000000045e-02
6.615305714285714203e+02,1.408868900000000146e-02
6.615908571428570895e+02,1.501327700000000022e-02
6.616511428571428723e+02,1.596627000000000116e-02
6.617114285714285415e+02,1.545098700000000110e-02
6.617717142857143244e+02,1.477492600000000073e-02
6.618319999999999936e+02,1.569317800000000207e-02
6.618922857142856628e+02,1.553600700000000098e-02
6.619525714285714457e+02,1.421384000000000015e-02
6.620128571428571149e+02,1.422315300000000053e-02
6.620731428571428978e+02,1.538359500000000164e-02
6.621334285714285670e+02,1.591336900000000013e-02
6.621937142857143499e+02,1.498950700000000087e-02
6.622540000000000191e+02,1.459499000000000039e-02
6.623141428571428833e+02,1.501897000000000128e-02
6.623742857142857474e+02,1.457682900000000122e-02
6.624344285714286116e+02,1.350237400000000101e-02
6.624945714285713620e+02,1.422281000000000066e-02
6.625547142857142262e+02,1.563667100000000129e-02
6.626148571428570904e+02,1.548161500000000065e-02
6.626749999999999545e+02,1.555839700000000159e-02
6.627352857142856237e+02,1.588133700000000231e-02
6.627955714285714066e+02,1.470242800000000176e-02
6.628558571428570758e+02,1.341406100000000143e-02
6.629161428571428587e+02,1.386220300000000002e-02
6.629764285714285279e+02,1.548824100000000155e-02
6.630367142857143108e+02,1.623340900000000073e-02
6.630969999999999800e+02,1.596142199999999942e-02
6.631572857142856492e+02,1.553264100000000154e-02
6.632175714285714321e+02,1.543612000000000109e-02
6.632778571428571013e+02,1.417905700000000012e-02
6.633381428571428842e+02,1.259920900000000010e-02
6.633984285714285534e+02,1.291828300000000089e-02
6.634587142857143363e+02,1.457658900000000091e-02
6.635190000000000055e+02,1.527389300000000019e-02
6.635791428571428696e+02,1.477670900000000072e-02
6.636392857142857338e+02,1.515849000000000016e-02
6.636994285714285979e+02,1.550173600000000033e-02
6.637595714285714621e+02,1.453228700000000137e-02
6.638197142857143263e+02,1.377689500000000081e-02
6.638798571428571904e+02,1.465650300000000128e-02
6.639400000000000546e+02,1.622996999999999981e-02
6.640002857142857238e+02,1.596740400000000101e-02
6.640605714285715067e+02,1.514106100000000080e-02
6.641208571428571759e+02,1.522711800000000129e-02
6.641811428571428451e+02,1.509206900000000136e-02
6.642414285714285143e+02,1.444993000000000145e-02
6.643017142857142971e+02,1.441194300000000171e-02
6.643619999999999663e+02,1.463313000000000114e-02
6.644222857142856355e+02,1.454102300000000014e-02
6.644825714285714184e+02,1.389169200000000062e-02
6.645428571428570876e+02,1.425838400000000068e-02
6.646031428571428705e+02,1.463642000000000068e-02
6.646634285714285397e+02,1.426156800000000051e-02
6.647237142857143226e+02,1.432163000000000012e-02
6.647839999999999918e+02,1.496323700000000076e-02
6.648441428571428560e+02,1.556269000000000055e-02
6.649042857142857201e+02,1.546763900000000178e-02
6.649644285714285843e+02,1.496419700000000026e-02
6.650245714285714485e+02,1.504366700000000015e-02
6.650847142857143126e+02,1.495857300000000105e-02
