Energy(1/cm),Absorbance
3.556665e+002,-8.564320e-004
3.556816e+002,-9.151251e-004
3.556967e+002,-8.838451e-004
3.557117e+002,-8.083474e-004
3.557268e+002,-7.533114e-004
3.557419e+002,-7.867836e-004
3.557569e+002,-9.621400e-004
3.557720e+002,-1.297643e-003
3.557870e+002,-1.765367e-003
3.558021e+002,-2.293832e-003
3.558172e+002,-2.783268e-003
3.558322e+002,-3.136019e-003
3.558473e+002,-3.282906e-003
3.558624e+002,-3.205292e-003
3.558774e+002,-2.940773e-003
3.558925e+002,-2.572678e-003
3.559076e+002,-2.205557e-003
3.559226e+002,-1.935216e-003
3.559377e+002,-1.823872e-003
3.559528e+002,-1.886822e-003
3.559678e+002,-2.089567e-003
3.559829e+002,-2.359712e-003
3.559980e+002,-2.606175e-003
3.560130e+002,-2.741059e-003
3.560281e+002,-2.698353e-003
3.560432e+002,-2.446836e-003
3.560582e+002,-1.992477e-003
3.560733e+002,-1.377481e-003
3.560884e+002,-6.686931e-004
3.561034e+002,5.692801e-005
3.561185e+002,7.225251e-004
3.561336e+002,1.263647e-003
3.561486e+002,1.633694e-003
3.561637e+002,1.805843e-003
3.561788e+002,1.772706e-003
3.561938e+002,1.542209e-003
3.562089e+002,1.135429e-003
3.562240e+002,5.886273e-004
3.562390e+002,-5.374009e-005
3.562541e+002,-7.425613e-004
3.562692e+002,-1.433330e-003
3.562842e+002,-2.093985e-003
3.562993e+002,-2.711820e-003
3.563144e+002,-3.293430e-003
3.563294e+002,-3.856461e-003
3.563445e+002,-4.414303e-003
3.563596e+002,-4.963830e-003
3.563746e+002,-5.478243e-003
3.563897e+002,-5.910276e-003
3.564048e+002,-6.205168e-003
3.564198e+002,-6.320195e-003
3.564349e+002,-6.243906e-003
3.564500e+002,-5.999532e-003
3.564650e+002,-5.638797e-003
3.564801e+002,-5.226335e-003
3.564951e+002,-4.820656e-003
3.565102e+002,-4.461335e-003
3.565253e+002,-4.167323e-003
3.565403e+002,-3.942234e-003
3.565554e+002,-3.787621e-003
3.565705e+002,-3.707994e-003
3.565855e+002,-3.708848e-003
3.566006e+002,-3.789230e-003
3.566157e+002,-3.929920e-003
3.566307e+002,-4.089308e-003
3.566458e+002,-4.210639e-003
3.566609e+002,-4.235545e-003
3.566760e+002,-4.128957e-003
3.566910e+002,-3.890943e-003
3.567061e+002,-3.558523e-003
3.567212e+002,-3.195326e-003
3.567362e+002,-2.868133e-003
3.567513e+002,-2.627385e-003
3.567664e+002,-2.492894e-003
3.567814e+002,-2.455303e-003
3.567965e+002,-2.487788e-003
3.568116e+002,-2.559931e-003
3.568266e+002,-2.647804e-003
3.568417e+002,-2.736153e-003
3.568568e+002,-2.813621e-003
3.568718e+002,-2.864151e-003
3.568869e+002,-2.864381e-003
3.569019e+002,-2.788535e-003
3.569170e+002,-2.621655e-003
3.569321e+002,-2.367391e-003
3.569471e+002,-2.052138e-003
3.569622e+002,-1.719297e-003
3.569773e+002,-1.413052e-003
3.569923e+002,-1.164458e-003
3.570074e+002,-9.791990e-004
3.570225e+002,-8.398643e-004
3.570375e+002,-7.189434e-004
3.570526e+002,-5.922976e-004
3.570677e+002,-4.502900e-004
3.570827e+002,-2.992298e-004
3.570978e+002,-1.547084e-004
3.571129e+002,-2.733472e-005
3.571279e+002,8.585878e-005
3.571430e+002,2.026951e-004
3.571581e+002,3.414811e-004
3.571731e+002,5.078440e-004
3.571882e+002,6.841601e-004
3.572033e+002,8.261542e-004
3.572183e+002,8.741599e-004
3.572334e+002,7.745026e-004
3.572485e+002,5.006456e-004
3.572635e+002,6.812893e-005
3.572786e+002,-4.696860e-004
3.572937e+002,-1.034206e-003
3.573087e+002,-1.542496e-003
3.573238e+002,-1.928553e-003
3.573389e+002,-2.158281e-003
3.573539e+002,-2.229094e-003
3.573690e+002,-2.161974e-003
3.573841e+002,-1.989740e-003
3.573991e+002,-1.748867e-003
3.574142e+002,-1.469425e-003
3.574293e+002,-1.176155e-003
3.574443e+002,-8.894664e-004
3.574594e+002,-6.284292e-004
3.574745e+002,-4.105023e-004
3.574895e+002,-2.509841e-004
3.575046e+002,-1.580869e-004
3.575197e+002,-1.342384e-004
3.575347e+002,-1.720972e-004
3.575498e+002,-2.548916e-004
3.575648e+002,-3.603488e-004
3.575799e+002,-4.633311e-004
3.575950e+002,-5.405766e-004
3.576100e+002,-5.754881e-004
3.576251e+002,-5.611599e-004
3.576402e+002,-5.044708e-004
3.576552e+002,-4.236109e-004
3.576703e+002,-3.446229e-004
3.576854e+002,-2.939651e-004
3.577004e+002,-2.916473e-004
3.577155e+002,-3.461128e-004
3.577306e+002,-4.513823e-004
3.577456e+002,-5.911064e-004
3.577607e+002,-7.465968e-004
3.577758e+002,-9.011386e-004
3.577908e+002,-1.044123e-003
3.578059e+002,-1.173181e-003
3.578210e+002,-1.292159e-003
3.578361e+002,-1.405390e-003
3.578511e+002,-1.514432e-003
3.578662e+002,-1.616216e-003
3.578813e+002,-1.706426e-003
3.578963e+002,-1.779260e-003
3.579114e+002,-1.828293e-003
3.579265e+002,-1.846968e-003
3.579415e+002,-1.826874e-003
3.579566e+002,-1.759823e-003
3.579716e+002,-1.639455e-003
3.579867e+002,-1.465099e-003
3.580018e+002,-1.249838e-003
3.580168e+002,-1.023166e-003
3.580319e+002,-8.278597e-004
3.580470e+002,-7.142792e-004
3.580620e+002,-7.260223e-004
3.580771e+002,-8.874494e-004
3.580922e+002,-1.192281e-003
3.581072e+002,-1.601295e-003
3.581223e+002,-2.051281e-003
